title,release_year,runtime,id,director,user_reviews,star_rating,vote_count,gross_revenue (million USD),release_month,spring,summer,fall,winter,is_popular_director,G,PG,PG-13,R,Unrated
1_star_wars_episode_vii__the_force_awakens,2015,138,tt2488496,J.J. Abrams,4800,4.0,998000,3007.972443,December,0,0,0,1,0,0,0,1,0,0
2_avengers_endgame,2019,181,tt4154796,Anthony Russo,9600,8.4,1400000,3657.8121,April,1,0,0,0,0,0,0,1,0,0
3_spiderman_no_way_home,2021,148,tt10872600,Jon Watts,6100,8.2,947000,2736.274661,December,0,0,0,1,0,0,0,1,0,0
4_avatar,2009,162,tt0499549,James Cameron,3900,7.5,1400000,3708.932357,December,0,0,0,1,1,0,0,1,0,0
5_top_gun_maverick,2022,130,tt1745960,Joseph Kosinski,4400,7.0,771000,2214.429113,May,1,0,0,0,0,0,0,1,0,0
6_black_panther,2018,134,tt1825683,Ryan Coogler,3500,7.0,872000,2050.352649,February,0,0,0,1,0,0,0,1,0,0
7_avatar_the_way_of_water,2022,192,tt1630029,James Cameron,3400,7.5,532000,3004.326048,December,0,0,0,1,1,0,0,1,0,0
8_avengers_infinity_war,2018,149,tt4154756,Anthony Russo,4600,8.4,1300000,2731.230521,April,1,0,0,0,0,0,0,1,0,0
9_titanic,1997,194,tt0120338,James Cameron,3400,10.0,1300000,2939.16785,December,0,0,0,1,1,0,0,1,0,0
10_jurassic_world,2015,124,tt0369610,Colin Trevorrow,1700,10.0,701000,2324.944069,June,0,1,0,0,0,0,0,1,0,0
11_inside_out_2,2024,96,tt22022452,Kelsey Mann,704,9.0,216000,2351.84401,June,0,1,0,0,0,0,1,0,0,0
12_deadpool__wolverine,2024,128,tt6263850,Shawn Levy,2200,8.0,491000,1974.819503,July,0,1,0,0,0,0,0,0,1,0
13_barbie,2023,114,tt1517268,Greta Gerwig,1800,8.0,605000,2083.276842,July,0,1,0,0,0,0,0,1,0,0
14_the_avengers,2012,143,tt0848228,Joss Whedon,2100,7.3,1500000,2143.896446,May,1,0,0,0,0,0,0,1,0,0
15_star_wars_episode_viii__the_last_jedi,2017,152,tt2527336,Rian Johnson,6900,7.8,693000,1954.589088,December,0,0,0,1,0,0,0,1,0,0
16_incredibles_2,2018,118,tt3606756,Brad Bird,1100,8.0,350000,1851.807411,June,0,1,0,0,1,0,1,0,0,0
17_the_super_mario_bros_movie,2023,92,tt6718170,Matthew Fogel,1300,7.0,267000,1935.781995,April,1,0,0,0,0,0,1,0,0,0
18_the_lion_king,2019,118,tt6105098,Jon Favreau,3100,6.6,283000,2205.658862,July,0,1,0,0,0,0,1,0,0,0
19_the_dark_knight,2008,152,tt0468569,Christopher Nolan,9000,8.4,3000000,1547.546055,July,0,1,0,0,1,0,0,1,0,0
20_rogue_one_a_star_wars_story,2016,133,tt3748528,Gareth Edwards,2000,7.8,712000,1592.224733,December,0,0,0,1,0,0,0,1,0,0
21_star_wars_episode_ix__the_rise_of_skywalker,2019,141,tt2527338,J.J. Abrams,7900,6.4,516000,1592.224914,December,0,0,0,1,0,0,0,1,0,0
22_beauty_and_the_beast,2017,129,tt2771200,Bill Condon,1200,7.0,347000,1860.562966,March,1,0,0,0,0,0,1,0,0,0
23_star_wars_episode_i__the_phantom_menace,1999,136,tt0120915,George Lucas,4100,7.0,889000,1534.092033,May,1,0,0,0,1,0,1,0,0,0
24_finding_dory,2016,97,tt2277860,Andrew Stanton,508,7.2,319000,1515.56255,June,0,1,0,0,1,0,1,0,0,0
25_wicked,2024,160,tt1262426,Jon M. Chu,1200,7.5,157000,1226.931192,November,0,0,1,0,0,0,1,0,0,0
26_star_wars_episode_iv__a_new_hope,1977,121,tt0076759,George Lucas,2100,8.7,1500000,1236.397014,May,1,0,0,0,1,0,1,0,0,0
27_moana_2,2024,100,tt13622970,David G. Derrick Jr.,466,7.6,102000,1519.674774,November,0,0,1,0,0,0,1,0,0,0
28_avengers_age_of_ultron,2015,141,tt2395427,Joss Whedon,1400,7.3,957000,1864.023916,May,1,0,0,0,0,0,0,1,0,0
29_black_panther_wakanda_forever,2022,161,tt9114286,Ryan Coogler,1500,7.3,329000,1313.037896,November,0,0,1,0,0,0,0,1,0,0
30_the_dark_knight_rises,2012,164,tt1345836,Christopher Nolan,4000,8.2,1900000,1563.125991,July,0,1,0,0,1,0,0,1,0,0
31_shrek_2,2004,93,tt0298148,Andrew Adamson,679,8.0,530000,1377.508236,May,1,0,0,0,0,0,1,0,0,0
32_et_the_extraterrestrial,1982,115,tt0083866,Steven Spielberg,752,10.0,453000,1236.762396,June,0,1,0,0,1,0,1,0,0,0
33_toy_story_4,2019,100,tt1979376,Josh Cooley,1400,7.6,297000,1507.879402,June,0,1,0,0,0,1,0,0,0,0
34_captain_marvel,2019,123,tt4154664,Anna Boden,7400,9.0,635000,1558.246285,March,1,0,0,0,0,0,0,1,0,0
35_the_lion_king,1994,88,tt0110357,Roger Allers,1300,8.3,1200000,1404.141093,June,0,1,0,0,0,1,0,0,0,0
36_the_hunger_games_catching_fire,2013,146,tt1951264,Francis Lawrence,821,7.5,746000,1289.679793,November,0,0,1,0,0,0,0,1,0,0
37_pirates_of_the_caribbean_dead_mans_chest,2006,151,tt0383574,Gore Verbinski,1900,7.1,796000,1489.495559,July,0,1,0,0,0,0,0,1,0,0
38_jurassic_world_fallen_kingdom,2018,128,tt4881806,J.A. Bayona,1900,8.0,360000,1728.188797,June,0,1,0,0,0,0,0,1,0,0
39_toy_story_3,2010,103,tt0435761,Lee Unkrich,1000,8.3,930000,1482.320981,June,0,1,0,0,1,1,0,0,0,0
40_wonder_woman,2017,141,tt0451279,Patty Jenkins,2500,7.3,719000,1236.815854,June,0,1,0,0,0,0,0,1,0,0
41_doctor_strange_in_the_multiverse_of_madness,2022,126,tt9419884,Sam Raimi,4000,8.0,513000,1367.107411,May,1,0,0,0,0,0,0,1,0,0
42_iron_man_3,2013,130,tt1300854,Shane Black,1500,8.0,930000,1675.166638,May,1,0,0,0,0,0,0,1,0,0
43_captain_america_civil_war,2016,147,tt3498820,Anthony Russo,1600,7.8,886000,1563.130765,May,1,0,0,0,0,0,0,1,0,0
44_the_hunger_games,2012,142,tt1392170,Gary Ross,2200,7.5,1000000,1103.231311,March,1,0,0,0,0,0,0,1,0,0
45_spiderman,2002,121,tt0145487,Sam Raimi,2400,7.0,921000,1233.576644,May,1,0,0,0,0,0,0,1,0,0
